from_pkg	kind	target	to_pkg	confidence
gst-plugins-good	dlopen	libsoup-3.0.so.0	libsoup3	guess
gutenprint	exec	/usr/bin/cupsd	cups	guess
gutenprint	exec	/usr/bin/lp	cups	guess
gutenprint	exec	/usr/bin/lpc	cups	guess
gutenprint	exec	/usr/bin/lpr	cups	guess
gyp	import	importlib_metadata	python-importlib_metadata	guess
hexchat	dlopen	libenchant-2.so.2	enchant	guess
hplip	import	dbus	dbus-python	guess
htdig	exec	/usr/bin/sendmail	postfix	guess
htop	dlopen	libnl-3.so.200	libnl3	guess
htop	dlopen	libnl-genl-3.so.200	libnl3	guess
htop	dlopen	libsensors.so.5	lm_sensors	guess
icecream	exec	/usr/bin/as	binutils	guess
igt-gpu-tools	exec	/usr/bin/llvm-mc	llvm	guess
intel-media-driver	dlopen	libX11.so.6	libX11	guess
intel-media-driver	dlopen	libva-x11.so.2	libva	guess
intel-vaapi-driver	dlopen	libva-x11.so.2	libva	guess
isl	dlopen	libisl.so.23	aaa_libraries	guess
itstool	import	libxml2	libxml2	guess
json-c	dlopen	libjson-c.so.5	aaa_libraries	guess
kapidox	import	gv	graphviz	guess
kapidox	import	importlib_metadata	python-importlib_metadata	guess
kapidox	import	jinja2	python-Jinja2	guess
kapidox	import	requests	python-requests	guess
kapidox	import	yaml	python-PyYAML	guess
kbd	dlopen	libbz2.so.1	aaa_libraries	guess
kbd	dlopen	liblzma.so.5	aaa_libraries	guess
kbd	dlopen	libz.so.1	aaa_libraries	guess
kbd	dlopen	libzstd.so.1	aaa_libraries	guess
kernel-firmware	dlopen	libc++.so.1	llvm	guess
kernel-firmware	dlopen	libc++abi.so.1	llvm	guess
kinit5	dlopen	libKF5Parts.so.5	kparts5	guess
kinit5	dlopen	libKF5Plasma.so.5	plasma-framework5	guess
krb5	dlopen	opensc-pkcs11.so	opensc	guess
krita	import	PyQt5	PyQt5_sip	guess
krita	import	PyQt6	PyQt6_sip	guess
ksh93	exec	/usr/bin/getconf	glibc	guess
kstars	exec	/usr/bin/indiserver	libindi	guess
kwallet-pam	exec	/usr/bin/ksecretd	kwallet	guess
libX11	dlopen	libXcursor.so.1	libXcursor	guess
libXpm	exec	/usr/bin/compress	ncompress	guess
libaio	dlopen	libaio.so.1	aaa_libraries	guess
libblockdev	import	bytesize	libbytesize	guess
libblockdev	import	gi	pygobject3	guess
libdbusmenu	import	dbus	dbus-python	guess
libepoxy	dlopen	libEGL.so.1	libglvnd	guess
libepoxy	dlopen	libGL.so.1	libglvnd	guess
libepoxy	dlopen	libGLESv1_CM.so.1	libglvnd	guess
libepoxy	dlopen	libGLESv2.so.2	libglvnd	guess
libepoxy	dlopen	libOpenGL.so.0	libglvnd	guess
libffi	dlopen	libffi.so.8	aaa_libraries	guess
libgccjit	dlopen	liblto_plugin.so	gcc	guess
libgtop	exec	/usr/bin/ssh	openssh	guess
libinput	import	yaml	python-PyYAML	guess
libmpc	dlopen	libmpc.so.3	aaa_libraries	guess
libnsl	dlopen	libnsl.so.3	aaa_libraries	guess
libplacebo	dlopen	libEGL.so.1	libglvnd	guess
libplacebo	dlopen	libGL.so.1	libglvnd	guess
libplacebo	dlopen	libGLESv2.so.2	libglvnd	guess
libppd	exec	/usr/bin/pdftops	poppler	guess
libsigsegv	dlopen	libsigsegv.so.2	aaa_libraries	guess
libsoup	exec	/usr/bin/ntlm_auth	samba	guess
libsoup3	exec	/usr/bin/ntlm_auth	samba	guess
libssh2	dlopen	libssh2.so.1	aaa_libraries	guess
libtiff	dlopen	libtiffxx.so.6	aaa_libraries	guess
libtirpc	dlopen	libtirpc.so.3	aaa_libraries	guess
libtool	dlopen	libltdl.so.7	aaa_libraries	guess
libunistring	dlopen	libunistring.so.5	aaa_libraries	guess
libusb	dlopen	libusb-1.0.so.0	aaa_libraries	guess
libusb-compat	dlopen	libusb-0.1.so.4	aaa_libraries	guess
libusb-compat	dlopen	libusb-1.0.so.0	aaa_libraries	guess
libxklavier	exec	/usr/bin/xkbcomp	xkbcomp	guess
libxml2	import	libxslt	libxslt	guess
libxslt	import	libxml2	libxml2	guess
linuxdoc-tools	import	libxml2	libxml2	guess
llvm	dlopen	ld-linux.so.2	aaa_glibc-solibs	guess
llvm	exec	/usr/bin/as	binutils	guess
llvm	import	yaml	python-PyYAML	guess
lynx	exec	/usr/bin/brotli	brotli	guess
lynx	exec	/usr/bin/compress	ncompress	guess
lynx	exec	/usr/bin/groff	groff	guess
lynx	exec	/usr/bin/man2html	man-db	guess
lynx	exec	/usr/bin/msgfmt	gettext-tools	guess
lynx	exec	/usr/bin/msginit	gettext-tools	guess
lynx	exec	/usr/bin/nroff	groff	guess
lynx	exec	/usr/bin/rlogin	netkit-rsh	guess
lynx	exec	/usr/bin/sendmail	postfix	guess
